Company Names,Cars Name,Reliability Score
NISSAN,FRONTIER,4.0
NISSAN,TITAN,3.5
TOYOTA,TACOMA,3.5
TOYOTA,TUNDRA,3.5
Nissan,NV200,4.0
Chevrolet,Colorado,4.0
Chevrolet,Colorado,4.0
GMC,Canyon,4.0
GMC,Canyon,4.0
GMC,Canyon,4.0
Ford,Ranger,4.0
