Company Names,Cars Name,Reliability Score
NISSAN,SENTRA,4.0
TOYOTA,COROLLA,4.5
TOYOTA,YARIS,4.5
HONDA,CIVIC,4.5
HYUNDAI,ELANTRA,4.5
HYUNDAI,Elantra,4.5
HYUNDAI,Ioniq,None
HYUNDAI,Elantra,4.5
Volkswagen,Golf,4.0
Volkswagen,Jetta,4.0
Chevrolet,Spark,4.0
Kia,Forte,4.5
Kia,Forte,4.5
Kia,Forte,4.5
Kia,Forte,4.5
Ford,Fiesta,4.0
